Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
O60220	O60220	4	4	4	Mitochondrial import inner membrane translocase subunit Tim8 A 	1	4	4	4	40.2	40.2	40.2	10.998	97	97	0	30.571	82382000	5				811	344;3863;3864;12153	True;True;True;True	351;3946;3947;12499	582;583;6500;6501;20685	659;660;7380;7381;23501	659;7380;7381;23501		
O60231;Q5SQH5	O60231;Q5SQH5	2;1	1;1	1;1	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 ;DEAH (Asp-Glu-Ala-His) box polypeptide 16, isoform CRA_a 	2	2	1	1	2	1.2	1.2	119.26	1041	1041;560	0.0040377	6.1913	3779700	1				812	4188;15887	True;False	4278;16322	6996;26998;26999	7946;30682;30683	7946;30683		
O60264	O60264	19	19	12	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 	1	19	19	12	19.8	19.8	13.4	121.9	1052	1052	0	139.69	310240000	29				813	1922;2960;3346;3896;4257;5783;5892;8050;8192;8733;8825;9925;10550;11011;12690;12879;13402;14531;14616	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1967;3027;3420;3979;4348;5903;6015;8231;8377;8926;9020;10172;10856;11330;13043;13239;13778;14938;15023	3268;5035;5036;5674;5675;6550;6551;7104;7105;9793;9794;9979;13743;13980;13981;14895;14896;15040;16879;18025;18026;18809;21550;21551;21859;22761;24736;24871;24872	3745;5740;5741;6447;6448;7441;7442;8074;8075;11147;11148;11358;15664;15934;15935;16992;16993;16994;17152;19220;20526;20527;21423;24480;24481;24823;25876;28155;28303;28304	3745;5740;6448;7441;8075;11148;11358;15664;15934;16993;17152;19220;20527;21423;24481;24823;25876;28155;28304		
O60287	O60287	1	1	1	Nucleolar pre-ribosomal-associated protein 1 	1	1	1	1	0.4	0.4	0.4	254.39	2271	2271	0.0044743	6.1766	4304100	1				814	7008	True	7167	11883	13598	13598		
O60306	O60306	1	1	1	Intron-binding protein aquarius 	1	1	1	1	0.9	0.9	0.9	171.29	1485	1485	0.003211	6.3981	8187800	1				815	14340	True	14738	24383	27760	27760		
O60343-2;O60343-3;O60343;Q5JU47;O60343-4;O60343-5	O60343-2;O60343-3;O60343	4;4;4;1;1;1	4;4;4;1;1;1	4;4;4;1;1;1	Isoform 2 of TBC1 domain family member 4 ;Isoform 3 of TBC1 domain family member 4 ;TBC1 domain family member 4 	6	4	4	4	4.5	4.5	4.5	139.55	1235	1235;1290;1298;282;462;515	0	24.083	15579000	4				816	1403;6631;12295;12482	True;True;True;True	1435;6781;12644;12834	2384;11239;11240;20906;20907;21216	2731;12849;12850;23752;23753;24103	2731;12850;23752;24103		
O60488-2;O60488;D6RF95;H0Y9A0	O60488-2;O60488	5;5;1;1	3;3;1;1	3;3;1;1	Isoform Short of Long-chain-fatty-acid--CoA ligase 4 ;Long-chain-fatty-acid--CoA ligase 4 	4	5	3	3	11.8	6.6	6.6	74.435	670	670;711;154;156	0	17.669	11154000	3				817	5410;6148;9064;9302;14849	True;True;False;False;True	5523;6276;9269;9512;15266	9090;10409;15414;15796;15797;25255	10346;11862;17581;17992;17993;28746	10346;11862;17581;17992;28746		
O60493-4;O60493;O60493-3;O60493-2	O60493-4;O60493;O60493-3;O60493-2	3;3;2;2	3;3;2;2	3;3;2;2	Isoform 4 of Sorting nexin-3 ;Sorting nexin-3 ;Isoform 3 of Sorting nexin-3 ;Isoform 2 of Sorting nexin-3 	4	3	3	3	20	20	20	16.315	140	140;162;113;130	0	20.677	29739000	3				818	427;13918;15959	True;True;True	436;14307;16396	728;23656;27111	818;26908;30815	818;26908;30815		
O60506-3;O60506;O60506-4;O60506-2;O60506-5;F6UXX1	O60506-3;O60506;O60506-4;O60506-2;O60506-5	17;17;16;16;11;7	12;12;11;11;8;5	12;12;11;11;8;5	Isoform 3 of Heterogeneous nuclear ribonucleoprotein Q ;Heterogeneous nuclear ribonucleoprotein Q ;Isoform 4 of Heterogeneous nuclear ribonucleoprotein Q ;Isoform 2 of Heterogeneous nuclear ribonucleoprotein Q ;Isoform 5 of Heterogeneous nuclear ribonucleo	6	17	12	12	35.1	26.5	26.5	62.656	562	562;623;527;588;410;185	0	123.33	534780000	21				819	504;505;601;2137;2343;2492;4572;5405;7633;8142;8889;10587;11700;13167;13902;15314;15662	True;True;False;True;True;True;False;True;True;False;True;True;False;False;True;True;True	514;515;615;2186;2400;2553;4668;5518;7805;8325;9089;10894;12032;13535;14291;15737;16092	845;846;1015;1016;3623;3981;3982;3983;3984;4231;4232;7641;7642;7643;9081;9082;13050;13051;13896;13897;15145;15146;18094;19937;19938;22350;22351;23631;23632;26033;26601	946;947;1159;1160;1161;4138;4556;4557;4558;4559;4842;4843;8694;8695;8696;10337;10338;14889;14890;15844;15845;17280;17281;17282;20602;20603;22647;22648;25398;25399;25400;26882;26883;29630;30250	946;947;1159;4138;4556;4843;8694;10338;14889;15845;17280;20603;22647;25400;26883;29630;30250		
O60664-4;O60664-3;O60664;K7EL96;O60664-2;K7ERZ3;K7ER39	O60664-4;O60664-3;O60664;K7EL96;O60664-2;K7ERZ3	4;4;4;2;2;2;1	4;4;4;2;2;2;1	4;4;4;2;2;2;1	Isoform 4 of Perilipin-3 ;Isoform 3 of Perilipin-3 ;Perilipin-3 ;Perilipin-3 (Fragment) ;Isoform 2 of Perilipin-3 ;Perilipin-3 (Fragment) 	7	4	4	4	13	13	13	45.803	422	422;433;434;172;251;292;168	0	38.083	40917000	5				820	5841;11136;12780;13414	True;True;True;True	5962;11458;13136;13790	9890;9891;19001;21691;22786	11257;11258;21635;24631;25912	11258;21635;24631;25912		
O60678;O60678-2	O60678;O60678-2	3;2	3;2	3;2	Protein arginine N-methyltransferase 3 ;Isoform 2 of Protein arginine N-methyltransferase 3 	2	3	3	3	6.8	6.8	6.8	59.875	531	531;469	0	21.303	20273000	3				821	8130;8943;15204	True;True;True	8312;9144;15623	13867;15227;25841	15809;17366;29413	15809;17366;29413		
O60701-2;O60701;O60701-3;D6RHF4;E9PBD2;E7ER95;E7ER83;E7ETF4;E7EV97	O60701-2;O60701;O60701-3	3;3;2;1;1;1;1;1;1	3;3;2;1;1;1;1;1;1	3;3;2;1;1;1;1;1;1	Isoform 2 of UDP-glucose 6-dehydrogenase ;UDP-glucose 6-dehydrogenase ;Isoform 3 of UDP-glucose 6-dehydrogenase 	9	3	3	3	7.5	7.5	7.5	47.602	427	427;494;397;53;55;84;130;153;181	0	18.471	9533500	3				822	5791;6201;15163	True;True;True	5911;6331;15581	9812;10503;25772	11167;11978;29335	11167;11978;29335		
O60749-2;O60749;D6RC15	O60749-2;O60749	7;7;1	7;7;1	5;5;1	Isoform 2 of Sorting nexin-2 ;Sorting nexin-2 	3	7	7	5	21.4	21.4	16.2	46.097	402	402;519;265	0	59.777	119790000	9				823	1003;1573;3162;4140;11675;15813;16062	True;True;True;True;True;True;True	1027;1609;3231;4230;12007;16245;16499	1695;2688;2689;5365;6921;19885;26875;27280;27281	1941;3101;3102;6115;7866;22590;30548;31005;31006	1941;3102;6115;7866;22590;30548;31006		
O60763;O60763-2;F5H4X1;F5GYR8;H0Y7C0	O60763;O60763-2;F5H4X1;F5GYR8	10;10;9;9;4	10;10;9;9;4	10;10;9;9;4	General vesicular transport factor p115 ;Isoform 2 of General vesicular transport factor p115 ;General vesicular transport factor p115 ;General vesicular transport factor p115 	5	10	10	10	14.6	14.6	14.6	107.89	962	962;973;947;971;638	0	78.922	120370000	12				824	2347;3283;3487;5331;6873;8870;12490;12587;14759;15131	True;True;True;True;True;True;True;True;True;True	2404;3355;3564;5441;7030;9067;12842;12940;15170;15549	3989;5565;5900;8958;8959;11660;15111;21232;21233;21390;21391;25108;25109;25719	4565;6329;6706;10192;10193;13357;17240;24120;24121;24296;24297;28577;28578;29278	4565;6329;6706;10192;13357;17240;24121;24297;28577;29278		
O60783	O60783	1	1	1	28S ribosomal protein S14, mitochondrial 	1	1	1	1	11.7	11.7	11.7	15.139	128	128	0.00050378	8.0154	10674000	0				825	6465	True	6604	10963	12534	12534		
O60828-5;O60828-4;O60828-2;O60828;O60828-10;O60828-9;O60828-8;O60828-7;O60828-6;H7C053;C9JQA1;O60828-3	O60828-5;O60828-4;O60828-2;O60828;O60828-10;O60828-9;O60828-8;O60828-7;O60828-6;H7C053;C9JQA1;O60828-3	2;2;2;2;1;1;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1;1;1	Isoform 5 of Polyglutamine-binding protein 1 ;Isoform 4 of Polyglutamine-binding protein 1 ;Isoform 2 of Polyglutamine-binding protein 1 ;Polyglutamine-binding protein 1 ;Isoform 10 of Polyglutamine-binding protein 1 ;Isoform 9 of Polyglutamine-binding pro	12	2	2	2	20.6	20.6	20.6	18.706	165	165;170;264;265;60;67;73;128;149;150;213;224	0	12.013	22714000	2				826	11052;13092	True;True	11371;13459	18880;22230	21502;25261	21502;25261		
O60832;O60832-2;H7C0M1;C9IYT0;H7C2Q9;H7BZF2;H7C2Q2	O60832;O60832-2;H7C0M1;C9IYT0;H7C2Q9	9;8;7;7;5;2;1	9;8;7;7;5;2;1	9;8;7;7;5;2;1	H/ACA ribonucleoprotein complex subunit 4 ;Isoform 3 of H/ACA ribonucleoprotein complex subunit 4 ;H/ACA ribonucleoprotein complex subunit 4 (Fragment) ;H/ACA ribonucleoprotein complex subunit 4 (Fragment) ;H/ACA ribonucleoprotein complex subunit 4 (Fragme	7	9	9	9	25.5	25.5	25.5	57.673	514	514;420;229;258;169;76;208	0	66.804	105190000	9				827	883;1185;6526;7942;8337;10436;12269;13109;13668	True;True;True;True;True;True;True;True;True	906;1214;6669;8122;8525;10741;12618;13476;14050	1506;2024;11062;11063;13577;14226;17829;20870;22258;23219	1721;2324;12644;12645;15483;16214;20298;23710;25295;26394	1721;2324;12644;15483;16214;20298;23710;25295;26394		
O60841	O60841	14	14	14	Eukaryotic translation initiation factor 5B 	1	14	14	14	15.1	15.1	15.1	138.83	1220	1220	0	88.539	129480000	15				828	426;5550;5572;6457;6601;7168;7448;7532;8499;8758;8759;10581;11169;15155	True;True;True;True;True;True;True;True;True;True;True;True;True;True	435;5665;5687;6596;6750;7332;7617;7702;8688;8951;8952;10887;11491;15573	727;9354;9355;9393;10947;11190;12183;12184;12691;12856;14500;14501;14934;14935;18086;19050;25761	817;10640;10641;10682;12514;12795;13940;13941;14503;14679;16531;16532;17035;17036;20594;21687;29324	817;10641;10682;12514;12795;13941;14503;14679;16532;17035;17036;20594;21687;29324		
O60869-2;O60869-3;O60869	O60869-2;O60869-3;O60869	1;1;1	1;1;1	1;1;1	Isoform 2 of Endothelial differentiation-related factor 1 ;Isoform 3 of Endothelial differentiation-related factor 1 ;Endothelial differentiation-related factor 1 	3	1	1	1	8.6	8.6	8.6	15.48	139	139;141;148	0	11.087	8173900	1				829	415	True	424	708;709	797;798	797		
O60882	O60882	1	1	1	Matrix metalloproteinase-20 	1	1	1	1	2.1	2.1	2.1	54.386	483	483	1	-2	26302000	1	+			830	7935	True	8115	13569	15474	15474	82	92
O60884;H3BMW5	O60884;H3BMW5	3;2	3;2	3;2	DnaJ homolog subfamily A member 2 ;DnaJ homolog subfamily A member 2 (Fragment) 	2	3	3	3	9.2	9.2	9.2	45.745	412	412;134	0	27.534	77317000	4				831	2968;10955;15027	True;True;True	3035;11272;15444	5052;5053;18719;18720;25547	5759;5760;21323;21324;29087	5760;21324;29087		
O75083;O75083-3;D6RD66	O75083;O75083-3	7;6;2	7;6;2	7;6;2	WD repeat-containing protein 1 ;Isoform 2 of WD repeat-containing protein 1 	3	7	7	7	14.4	14.4	14.4	66.193	606	606;466;245	0	44.188	67721000	7				832	2520;3644;5114;6987;10728;12099;14488	True;True;True;True;True;True;True	2581;3723;5222;7146;11039;12444;14894	4284;6142;8603;11847;18332;18333;20596;24661	4901;6970;9806;13560;20883;20884;23391;28072	4901;6970;9806;13560;20884;23391;28072		
O75131;E5RG68;E5RHZ0;H0YB26;E5RG97;E5RJ85;E5RFT7;Q86VY2;Q7Z6C8;Q719H8;Q96FN4;E7ENV7;Q8IYJ1;Q96A23;O95741;Q9UBL6-2;Q86YQ8;Q96A23-2;Q9HCH3;O95741-2;Q9UBL6	O75131;E5RG68	10;6;4;4;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	10;6;4;4;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	10;6;4;4;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	Copine-3 ;Copine-3 (Fragment) 	21	10	10	10	20.7	20.7	20.7	60.13	537	537;234;153;262;135;139;79;233;301;446;548;552;553;557;557;558;564;575;593;612;633	0	72.997	197800000	17				833	2069;3835;7420;9704;10724;11808;12418;12584;13950;15229	True;True;True;True;True;True;True;True;True;True	2117;3918;7589;9925;11035;12142;12770;12937;14340;15648	3512;3513;6445;6446;12653;16490;16491;18327;20103;21112;21384;21385;23702;23703;25886	4017;4018;4019;7321;7322;14464;18778;18779;18780;20878;22826;23986;24289;24290;26959;26960;29469	4018;7321;14464;18779;20878;22826;23986;24289;26959;29469		
O75306-2;O75306;B7Z9L2	O75306-2;O75306;B7Z9L2	7;7;4	7;7;4	7;7;4	Isoform 2 of NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial 	3	7	7	7	14.9	14.9	14.9	51.851	457	457;463;231	0	43.968	89613000	8				834	4523;5182;5183;6187;9896;10561;14584	True;True;True;True;True;True;True	4617;5290;5291;6317;10135;10867;14991	7555;8710;8711;10483;10484;16813;18046;24820	8589;9917;9918;11956;11957;19140;20548;28248	8589;9917;9918;11957;19140;20548;28248		
O75323-2;O75323;F8WBI5;C9J7B1;C9K068;H7C333	O75323-2;O75323;F8WBI5	3;3;2;1;1;1	2;2;1;1;1;1	2;2;1;1;1;1	Isoform 2 of Protein NipSnap homolog 2 ;Protein NipSnap homolog 2 ;Protein NipSnap homolog 2 	6	3	2	2	10.5	7.7	7.7	29.052	247	247;286;145;65;80;114	0	12.677	23399000	3				835	3434;7105;12004	False;True;True	3510;7267;12346	5814;12067;12068;20441	6604;13807;13808;23216	6604;13807;23216		
O75340-2;O75340;H0Y9X3	O75340-2;O75340	4;4;1	4;4;1	4;4;1	Isoform 2 of Programmed cell death protein 6 ;Programmed cell death protein 6 	3	4	4	4	23.8	23.8	23.8	21.664	189	189;191;104	0	28.181	87127000	6				836	627;9227;12078;15771	True;True;True;True	642;9436;12422;16203	1057;1058;15672;15673;20560;20561;26794;26795	1203;1204;17855;17856;23349;23350;30461;30462	1204;17855;23349;30462		
O75348;O95670-2;F2Z307;O95670	O75348;O95670-2;F2Z307;O95670	2;1;1;1	2;1;1;1	2;1;1;1	V-type proton ATPase subunit G 1 ;Isoform 2 of V-type proton ATPase subunit G 2 ;Protein ATP6V1G2-DDX39B ;V-type proton ATPase subunit G 2 	4	2	2	2	21.2	21.2	21.2	13.757	118	118;78;99;118	0	16.68	20408000	2				837	1358;10231	True;True	1389;10527	2309;17460;17461	2652;19877;19878	2652;19877		
O75367-2;O75367-3;O75367;B4DJC3;D6RCF2;Q5SQT3	O75367-2;O75367-3;O75367;B4DJC3	12;12;12;8;3;1	12;12;12;8;3;1	10;10;10;7;1;0	Isoform 1 of Core histone macro-H2A.1 ;Isoform 3 of Core histone macro-H2A.1 ;Core histone macro-H2A.1 ;Histone H2A 	6	12	12	10	43.6	43.6	36.6	39.183	369	369;371;372;200;165;242	0	125.75	624830000	23				838	176;622;738;4266;5360;5560;10374;10375;10486;11314;12045;12206	True;True;True;True;True;True;True;True;True;True;True;True	176;636;755;4357;5471;5675;10677;10678;10791;11637;12389;12553	293;294;1047;1247;1248;7118;7119;9004;9005;9369;9370;17711;17712;17713;17913;19272;19273;20511;20512;20755;20756	323;324;325;1193;1420;1421;8090;8091;10248;10249;10250;10656;10657;20154;20155;20156;20399;21928;21929;23297;23298;23579;23580	325;1193;1420;8090;10250;10657;20154;20156;20399;21928;23298;23579		
O75368	O75368	2	2	2	SH3 domain-binding glutamic acid-rich-like protein 	1	2	2	2	27.2	27.2	27.2	12.774	114	114	0	17.058	50062000	4				839	3252;15339	True;True	3324;15762	5519;5520;26077;26078	6281;6282;29679;29680	6282;29679		
O75369-2;O75369-9;O75369;O75369-8;O75369-6;O75369-3;E7EN95;O75369-7;O75369-5;O75369-4;H7C5L4;Q8WXT3	O75369-2;O75369-9;O75369;O75369-8;O75369-6;O75369-3;E7EN95;O75369-7;O75369-5;O75369-4	30;30;30;30;29;29;26;26;24;24;2;1	28;28;28;28;27;27;26;26;22;22;2;1	27;27;27;27;26;26;26;26;21;21;2;1	Isoform 2 of Filamin-B ;Isoform 9 of Filamin-B ;Filamin-B ;Isoform 8 of Filamin-B ;Isoform 6 of Filamin-B ;Isoform 3 of Filamin-B ;Filamin-B ;Isoform 7 of Filamin-B ;Isoform 5 of Filamin-B ;Isoform 4 of Filamin-B 	12	30	28	27	15.6	15	14.5	275.66	2578	2578;2591;2602;2633;2537;2561;2409;2422;2146;2150;135;72	0	193.15	204530000	28				840	580;600;638;1189;4290;4384;4515;4921;5992;5998;6111;6683;8362;9474;9614;9830;10920;11950;12403;12405;12406;12593;12908;13044;14007;14497;14678;14830;15085;15661	True;True;True;True;True;True;True;True;True;True;True;False;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	594;614;653;1218;4382;4478;4609;5025;6117;6123;6238;6834;8550;9692;9833;10062;11236;12289;12755;12757;12758;12946;13268;13410;14398;14903;15087;15247;15502;16091	984;1014;1075;2029;7159;7160;7320;7544;8292;10138;10148;10149;10345;11338;14269;14270;16094;16095;16340;16696;18666;20348;21092;21094;21095;21399;21902;22135;23803;24680;24681;24975;25223;25224;25642;26600	1115;1158;1222;2329;8136;8137;8318;8577;9458;11536;11547;11548;11788;12971;16258;16259;18327;18328;18604;19011;21261;23104;23966;23968;23969;24307;24870;25147;27082;28093;28094;28430;28710;28711;29185;30249	1115;1158;1222;2329;8137;8318;8577;9458;11536;11548;11788;12971;16258;18328;18604;19011;21261;23104;23966;23968;23969;24307;24870;25147;27082;28094;28430;28711;29185;30249		
O75380;D6RBT3	O75380	3;1	3;1	3;1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial 	2	3	3	3	29.8	29.8	29.8	13.711	124	124;172	0	19.471	33588000	3				841	13153;14374;15341	True;True;True	13520;14772;15764	22322;22323;24451;26080	25368;25369;27835;29682	25368;27835;29682		
O75396	O75396	3	3	3	Vesicle-trafficking protein SEC22b 	1	3	3	3	17.2	17.2	17.2	24.593	215	215	0	17.705	50887000	2				842	2208;13882;14653	True;True;True	2258;14270;15061	3741;23598;24938	4270;26848;28381	4270;26848;28381		
O75400-2;O75400;O75400-3;F5H578;H7C2N3;H0YG38	O75400-2;O75400;O75400-3	9;9;8;3;1;1	9;9;8;3;1;1	9;9;8;3;1;1	Isoform 2 of Pre-mRNA-processing factor 40 homolog A ;Pre-mRNA-processing factor 40 homolog A ;Isoform 3 of Pre-mRNA-processing factor 40 homolog A 	6	9	9	9	11	11	11	105.93	930	930;957;939;448;163;346	0	62.784	135430000	14				843	865;3942;4218;4272;4343;7712;11818;12352;14905	True;True;True;True;True;True;True;True;True	888;4025;4308;4363;4435;7884;12152;12703;15322	1474;1475;6621;7043;7044;7128;7129;7248;13183;20118;20119;21004;21005;25355	1682;1683;7518;8001;8002;8102;8103;8238;15033;22842;22843;23866;23867;28874	1683;7518;8001;8103;8238;15033;22843;23866;28874		
O75438;O75438-2	O75438;O75438-2	2;1	2;1	2;1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 ;Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 	2	2	2	2	34.5	34.5	34.5	6.9611	58	58;105	0	16.616	21607000	3				844	3156;10271	True;True	3225;10568	5357;17529;17530	6107;19949;19950	6107;19950		
O75475;O75475-3;O75475-2;V9GYT7	O75475;O75475-3;O75475-2	13;11;11;1	13;11;11;1	12;10;10;1	PC4 and SFRS1-interacting protein ;Isoform 3 of PC4 and SFRS1-interacting protein ;Isoform 2 of PC4 and SFRS1-interacting protein 	4	13	13	12	25.7	25.7	24.2	60.103	530	530;329;333;65	0	91.303	248130000	23				845	1510;1909;2020;4618;5438;5697;5921;7214;9018;10258;10696;11284;14062	True;True;True;True;True;True;True;True;True;True;True;True;True	1545;1953;2067;4716;5551;5814;6044;7379;9221;10555;11005;11607;14454	2584;3240;3241;3242;3426;7736;9139;9140;9141;9636;10022;10023;12276;15344;15345;17504;18278;19224;23902	2972;3710;3711;3712;3713;3917;8827;10405;10406;10407;10408;10969;11412;11413;14043;17495;17496;17497;19922;20822;21877;21878;27194	2972;3713;3917;8827;10408;10969;11413;14043;17496;19922;20822;21877;27194		
O75489;B4DFM8;E9PS48;G3V194	O75489	7;2;2;1	7;2;2;1	7;2;2;1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial 	4	7	7	7	33.3	33.3	33.3	30.241	264	264;132;161;121	0	57.038	121480000	13				846	1923;3337;6484;12299;13856;15174;15562	True;True;True;True;True;True;True	1968;3411;6623;12648;14243;15592;15992	3269;3270;5657;5658;5659;5660;10991;20913;20914;23558;25788;25789;25790;26438	3746;3747;6430;6431;6432;6433;12564;23762;23763;26803;29351;29352;29353;30071	3747;6431;12564;23763;26803;29352;30071		
O75494-5;Q5JRI1;O75494-4;O75494-6;O75494-3;O75494-2;O75494;Q6IQ42	O75494-5;Q5JRI1;O75494-4;O75494-6;O75494-3;O75494-2;O75494;Q6IQ42	2;2;2;2;2;2;2;1	2;2;2;2;2;2;2;1	2;2;2;2;2;2;2;1	Isoform 5 of Serine/arginine-rich splicing factor 10 ;Serine/arginine-rich-splicing factor 10 ;Isoform 4 of Serine/arginine-rich splicing factor 10 ;Isoform 6 of Serine/arginine-rich splicing factor 10 ;Isoform 3 of Serine/arginine-rich splicing factor 10 	8	2	2	2	17	17	17	20.117	165	165;172;173;182;183;261;262;69	0	16.849	81238000	3				847	1796;15688	True;True	1837;16118	3043;3044;26638	3482;3483;30291	3483;30291		
O75521-2;O75521;F1LLU7;F8WAW4;F8W6J1;C9JB63;C9J000	O75521-2;O75521;F1LLU7;F8WAW4;F8W6J1;C9JB63	4;4;3;2;2;2;1	4;4;3;2;2;2;1	4;4;3;2;2;2;1	Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial ;Enoyl-CoA delta isomerase 2, mitochondrial ;Enoyl-CoA delta isomerase 2, mitochondrial ;Enoyl-CoA delta isomerase 2, mitochondrial ;Enoyl-CoA delta isomerase 2, mitochondrial ;Enoyl-CoA delta isomera	7	4	4	4	12	12	12	39.609	359	359;394;197;140;152;220;227	0	27.384	35374000	5				848	795;10335;15394;15453	True;True;True;True	816;10637;15818;15881	1360;17646;17647;26169;26268	1551;20081;20082;29778;29885	1551;20081;29778;29885		
O75531	O75531	6	6	6	Barrier-to-autointegration factor 	1	6	6	6	60.7	60.7	60.7	10.058	89	89	0	46.05	383330000	14				849	1691;1857;1888;1935;7112;7113	True;True;True;True;True;True	1729;1900;1932;1980;1981;7275;7276	2875;3157;3158;3207;3208;3292;3293;3294;3295;12081;12082;12083	3302;3615;3616;3675;3676;3772;3773;3774;3775;3776;3777;13821;13822;13823	3302;3615;3675;3777;13821;13822	83	15
O75533;H7C341;O75533-2;B4DGZ4;F8WC19	O75533	34;5;3;3;1	34;5;3;3;1	34;5;3;3;1	Splicing factor 3B subunit 1 	5	34	34	34	32.8	32.8	32.8	145.83	1304	1304;241;144;154;37	0	246.8	535850000	52				850	86;760;1470;2400;2937;3497;4380;4500;4652;4855;5176;5768;7031;7033;7052;7417;7419;7435;7893;9350;10239;10833;11118;12301;13007;13169;13849;14496;14674;14881;14936;15246;15247;15399	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	86;780;1503;2460;3004;3574;4474;4594;4750;4959;5284;5888;7190;7192;7212;7586;7588;7604;8071;9560;10535;11145;11439;12650;13370;13537;14236;14902;15083;15298;15353;15666;15667;15823	145;1296;2516;4087;4088;4995;5916;5917;7311;7521;7522;7523;7792;8177;8699;8700;9767;9768;9769;9770;11923;11925;11960;12650;12652;12675;13498;13499;15878;17473;17474;17475;18510;18511;18974;18975;20916;20917;20918;22075;22353;22354;23547;24678;24679;24969;24970;25318;25319;25408;25916;25917;25918;26176;26177	156;1482;2892;4680;4681;5696;6724;6725;8309;8554;8555;8556;8889;9326;9905;9906;11120;11121;11122;11123;13643;13645;13685;14461;14463;14486;15392;15393;18082;19890;19891;19892;21090;21091;21607;21608;23765;23766;23767;23768;25079;25080;25402;25403;26789;28090;28091;28092;28420;28421;28422;28423;28823;28824;28933;29503;29504;29505;29785;29786	156;1482;2892;4681;5696;6724;8309;8556;8889;9326;9905;11123;13643;13645;13685;14461;14463;14486;15392;18082;19891;21091;21608;23767;25079;25402;26789;28091;28422;28824;28933;29503;29505;29786		
O75534-2;O75534;O75534-3;O75534-4;E9PLT0;E9PLD4;E9PNG3	O75534-2;O75534;O75534-3;O75534-4;E9PLT0	15;15;15;15;12;2;1	15;15;15;15;12;2;1	15;15;15;15;12;2;1	Isoform 2 of Cold shock domain-containing protein E1 ;Cold shock domain-containing protein E1 ;Isoform 3 of Cold shock domain-containing protein E1 ;Isoform 4 of Cold shock domain-containing protein E1 ;Cold shock domain-containing protein E1 	7	15	15	15	23.3	23.3	23.3	85.746	767	767;798;813;844;668;94;136	0	106.5	255770000	23				851	1450;1760;2436;2547;3219;3955;4059;5067;5279;6318;8054;9390;10560;10804;14254	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1482;1801;2496;2608;3289;4038;4148;5174;5388;6452;8235;9605;10866;11115;14649	2479;2480;2481;2987;4137;4330;5463;6638;6639;6800;8531;8532;8867;8868;8869;8870;10714;10715;13749;15958;18044;18045;18447;24229;24230	2852;2853;2854;3424;4732;4950;6222;7538;7539;7724;9723;9724;10090;10091;10092;10093;12250;12251;15670;18168;20546;20547;21017;27575;27576	2852;3424;4732;4950;6222;7538;7724;9724;10093;12250;15670;18168;20546;21017;27575		
O75607	O75607	3	3	3	Nucleoplasmin-3 	1	3	3	3	21.9	21.9	21.9	19.343	178	178	0	77.625	141080000	3				852	88;562;10500	True;True;True	88;575;10805	148;954;17933	159;1077;20421	159;1077;20421		
